bairro,grau
recife,2
santo amaro,10
santo antonio,6
soledade,4
boa vista,10
espinheiro,6
torreao,4
campo grande,8
coelhos,5
graças,3
derby,5
paissandu,6
ilha do leite,5
cabanga,3
afogados,10
sao jose,5
pina,5
ilha joana bezerra,6
madalena,7
ilha do retiro,6
arruda,8
agua fria,8
campina do barreto,5
peixinhos,3
ponto de parada,6
tamarineira,9
mangabeira,5
bomba do hemeterio,5
cajueiro,3
fundao,4
hipodromo,3
encruzilhada,8
rosarinho,5
aflitos,4
gracas,8
linha do tiro,6
beberibe,4
porto da madeira,4
alto santa teresinha,6
alto jose bonifacio,6
alto jose do pinho,7
morro da conceicao,5
dois unidos,4
vasco da gama,5
casa amarela,11
alto do mandu,5
monteiro,5
poco da panela,4
casa forte,4
parnamirim,5
apipucos,7
dois irmaos,5
santana,6
sitio dos pintos,2
jaqueira,4
brejo da guabiraba,5
guabiraba,4
passarinho,4
brejo de beberibe,7
nova descoberta,7
corrego do jenipapo,5
macaxeira,4
pau-ferro,1
cordeiro,9
engenho do meio,5
iputinga,8
torre,6
zumbi,4
prado,7
san martin,10
torroes,3
cidade universitaria,4
varzea,4
caxanga,5
poço,1
bongi,4
parnamirin,1
curado,8
mustardinha,5
são jose,1
imbiribeira,7
jiquia,7
mangueira,4
estância,4
areias,8
ibura,8
barro,5
cacote,3
jardim sao paulo,5
ipsep,4
tejipio,5
cohab,3
coqueiral,3
toto,3
sancho,4
boa viagem,5
jordão,1
setubal,1
brasilia teimosa,1
jordao,2
